time,event,membership_category,feedback_negative,points_in_wallet,avg_transaction_value,avg_frequency_login_days,past_complaint,gender,region_category,age
744,0,Platinum Membership,1,704.31,28456.92,5.0,0,M,City,15.0
786,1,No Membership,1,693.0,13374.01,12.0,0,M,City,30.0
446,1,No Membership,1,550.13,37220.97,,1,M,Village,64.0
1067,1,No Membership,1,622.06,40093.14,55.01616856909504,0,M,Town,59.0
880,1,No Membership,1,621.94,18606.73,24.0,0,M,City,23.0
923,0,Silver Membership,0,750.83,41019.89,19.0,1,F,Town,32.0
973,0,Premium Membership,1,730.02,10636.13,5.0,0,M,,11.0
519,0,Platinum Membership,1,799.91,27380.8,27.0,1,M,City,42.0
60,1,No Membership,1,559.2451349253587,14310.09,11.0,0,M,Town,12.0
914,0,Premium Membership,1,1196.6007504272748,37295.99,25.0,0,M,City,45.0
1013,0,Platinum Membership,1,,23832.38,,1,F,Town,19.0
878,0,Gold Membership,0,713.99,97643.81,5.0,0,F,City,55.0
307,1,Silver Membership,1,335.26208183526705,32605.84,16.0,0,F,City,16.0
689,0,Platinum Membership,1,240.15819303168496,21460.83,27.0,0,M,City,56.0
418,1,Silver Membership,1,622.69,36494.51,24.0,0,F,Town,24.0
1082,0,Platinum Membership,1,743.44,21842.03,19.0,0,F,Town,24.0
934,1,Basic Membership,1,600.39,40698.54,9.0,1,M,Town,53.0
866,1,No Membership,1,,31574.54,28.0,0,F,Town,12.0
1046,1,Basic Membership,1,631.09,47756.12,15.0,0,M,Town,58.0
198,0,Premium Membership,0,705.75,12483.66,2.0,1,F,Village,63.0
542,0,Gold Membership,0,517.3513913379674,20411.69,15.0,0,M,Town,62.0
997,0,Platinum Membership,1,1042.0870641604756,24394.24,16.0,1,F,Village,48.0
791,0,Gold Membership,1,752.88,19078.81,17.0,1,M,Town,60.0
134,1,Basic Membership,1,621.72,36532.11,16.0,0,F,City,64.0
386,1,Basic Membership,1,559.8,47511.49,11.0,0,F,,11.0
943,1,No Membership,1,,35937.37,6.0,0,M,City,39.0
448,1,No Membership,1,632.14,47218.23,29.0,0,F,City,52.0
415,0,Gold Membership,0,754.69,47619.23,10.0,0,F,Town,54.0
983,0,Silver Membership,1,748.61,27477.44,16.0,0,M,Town,12.0
1091,0,Gold Membership,1,734.08,10779.16,23.0,0,F,,49.0
331,0,Premium Membership,0,1085.7706011868645,77291.02,1.0,1,M,Town,23.0
265,1,No Membership,1,274.3235842251838,20038.77,12.0,0,F,Village,62.0
109,0,Silver Membership,1,761.41,46063.59,6.0,1,M,,45.0
749,0,Silver Membership,1,740.91,11333.18,18.0,0,F,,17.0
1034,1,Basic Membership,1,680.88,36545.91,12.0,1,M,Village,22.0
312,1,No Membership,1,615.71,40594.31,,1,M,Town,38.0
160,0,Platinum Membership,1,759.48,23397.98,8.0,0,M,City,28.0
7,0,Silver Membership,1,208.90394517916,11023.03,,0,F,City,39.0
339,1,No Membership,1,642.93,34614.42,15.0,1,F,Town,61.0
440,0,Gold Membership,0,435.9525482844404,33430.37,14.0,1,M,Town,64.0
489,1,Silver Membership,1,282.36387933775825,17353.48,21.0,0,M,Town,37.0
1076,1,No Membership,1,664.98,7375.39,16.0,0,M,,48.0
911,0,Premium Membership,1,,35792.72,27.0,1,M,Town,54.0
566,0,Gold Membership,1,,3612.98,24.0,1,F,City,34.0
1064,0,Silver Membership,1,740.22,13518.27,12.0,0,F,Town,50.0
790,0,Gold Membership,1,780.92,15596.42,14.0,0,F,Town,20.0
898,1,No Membership,1,549.41,32189.63,7.0,1,F,Village,27.0
598,1,No Membership,1,583.06,27114.49,29.0,1,F,Town,14.0
944,1,No Membership,1,524.52,13608.16,16.0,1,F,,32.0
291,1,No Membership,1,656.21,20417.72,10.0,0,F,City,55.0
787,1,No Membership,1,673.05,46139.37,16.0,0,F,City,21.0
68,1,No Membership,1,671.23,12478.19,21.0,1,M,Town,12.0
135,0,Gold Membership,1,725.74,15610.96,13.0,1,F,Town,58.0
878,1,Basic Membership,1,653.38,24610.29,10.0,1,F,Town,23.0
593,0,Silver Membership,0,796.0,58077.98,7.0,1,F,Town,55.0
448,1,Silver Membership,1,633.64,12574.16,18.0,0,M,,26.0
244,0,Gold Membership,1,778.24,30998.94,29.0,1,M,City,16.0
709,1,Silver Membership,1,668.44,31444.17,10.0,1,M,Town,17.0
955,0,Premium Membership,0,765.97,66961.7,19.0,0,M,City,11.0
18,0,Gold Membership,1,550.1900865886548,16717.72,28.0,1,M,City,44.0
456,1,Gold Membership,1,623.93,45054.8,12.0,0,F,Town,16.0
572,0,Silver Membership,1,945.4319714217356,15799.78,28.0,1,F,Town,17.0
173,1,Gold Membership,1,649.88,34046.4,9.0,0,M,City,35.0
153,1,Basic Membership,1,,40612.89,28.0,1,M,City,62.0
67,1,Basic Membership,1,580.25,43660.25,29.0,1,M,Town,25.0
756,0,Silver Membership,1,,47001.28,8.0,0,F,,22.0
664,1,Basic Membership,1,694.31,4165.97,17.0,0,F,Town,58.0
108,1,Basic Membership,1,663.11,36445.77,,0,F,Town,62.0
759,1,Gold Membership,1,713.39,33879.22,26.0,1,M,Town,41.0
1016,0,Premium Membership,1,708.74,39995.8,28.0,0,M,Town,48.0
636,1,Basic Membership,1,1176.2004216422267,13706.85,7.0,0,M,,38.0
833,0,Platinum Membership,1,188.1924468650877,49628.7,15.0,0,M,Town,21.0
334,1,Basic Membership,1,,25452.4,18.0,0,M,,62.0
861,1,Basic Membership,1,,44732.67,20.0,0,F,City,40.0
75,1,Gold Membership,1,657.12,17373.46,13.0,1,M,,48.0
935,1,No Membership,1,1071.824762921459,31089.9,25.0,1,M,Village,38.0
540,1,No Membership,1,826.4263584408252,44015.54,9.0,0,F,City,12.0
580,1,Silver Membership,1,661.83,46167.97,23.0,0,F,Town,34.0
13,0,Gold Membership,0,,23566.49,3.0,0,M,,59.0
26,1,Basic Membership,1,614.1,11203.68,,0,M,City,43.0
620,1,Silver Membership,1,689.99,44858.07,18.0,0,M,Town,15.0
956,1,Silver Membership,1,633.41,45893.91,14.0,1,M,,23.0
101,0,Premium Membership,1,741.71,44496.31,19.0,0,M,Town,55.0
876,0,Premium Membership,1,742.41,23602.1,11.0,0,F,Town,59.0
849,1,No Membership,1,561.78,6124.94,15.0,0,M,Town,50.0
449,1,Basic Membership,1,647.61,40236.57,21.0,0,F,City,48.0
790,1,No Membership,1,677.29,12163.94,11.0,0,F,City,23.0
165,1,No Membership,1,,7015.77,20.0,1,M,Town,55.0
423,0,Platinum Membership,0,760.54,70639.99,,0,M,City,33.0
769,1,No Membership,1,636.43,38036.67,29.0,1,M,Town,49.0
94,1,Silver Membership,1,,45824.46,12.0,1,M,Town,55.0
14,1,No Membership,1,578.69,6280.96,20.0,1,F,Village,56.0
673,1,No Membership,1,529.02,32673.05,21.0,0,F,City,32.0
597,0,Gold Membership,0,1242.2009985123775,50085.74,4.0,0,M,Village,52.0
366,1,No Membership,1,524.34,23123.43,22.0,0,M,Town,16.0
770,1,Basic Membership,1,608.37,38477.8,13.0,0,F,Village,48.0
167,0,Platinum Membership,1,778.62,28202.86,19.0,0,M,City,61.0
603,1,Basic Membership,1,301.5444843542952,2203.18,15.0,1,F,Town,33.0
507,1,No Membership,1,414.2461508169796,21574.0,5.0,1,M,City,22.0
848,1,Basic Membership,1,,1808.39,22.0,0,M,City,15.0
684,1,Silver Membership,1,1078.7609582886407,38249.21,23.0,1,F,Village,10.0
668,0,Platinum Membership,1,165.4194560969639,9508.56,20.0,1,M,Village,50.0
695,1,No Membership,1,1098.6008511296418,31792.97,9.0,1,M,City,12.0
840,0,Premium Membership,1,791.99,49093.95,28.0,0,M,Town,10.0
256,1,No Membership,1,677.35,12440.72,5.0,1,M,Town,12.0
164,1,No Membership,1,555.38,13626.01,23.0,0,F,Town,45.0
702,1,No Membership,1,557.61,18512.96,,1,F,Town,14.0
1064,0,Gold Membership,1,723.0,46548.07,15.0,1,F,,20.0
115,1,Basic Membership,1,,47228.58,12.0,1,F,City,37.0
650,0,Silver Membership,0,785.69,85750.12,6.0,0,M,City,13.0
859,0,Silver Membership,0,710.79,56741.77,11.0,0,F,Town,33.0
478,0,Premium Membership,1,754.32,5843.93,5.0,1,F,Town,47.0
140,1,No Membership,1,638.91,9945.0,,0,M,Town,34.0
568,1,No Membership,1,420.25223452940537,34007.44,12.0,1,F,,10.0
525,0,Premium Membership,1,360.58246425943986,14545.9,8.0,1,M,Town,44.0
419,1,Silver Membership,1,659.95,25966.98,9.0,0,M,Village,17.0
821,1,Basic Membership,1,,29048.04,21.0,1,F,,38.0
119,0,Platinum Membership,0,831.1,33959.9,8.0,1,M,,33.0
240,1,Silver Membership,1,672.15,15403.3,19.0,0,F,City,16.0
401,0,Silver Membership,1,,21585.94,,0,M,Village,50.0
34,1,Basic Membership,1,1161.0576608386689,28024.35,8.0,1,F,City,52.0
249,0,Gold Membership,1,,41808.02,16.0,1,M,City,36.0
439,1,No Membership,1,622.96,25686.23,16.0,1,F,,38.0
651,0,Premium Membership,1,1638.2755796701956,36440.91,15.0,0,F,City,54.0
527,1,No Membership,1,661.3,21330.47,22.0,0,F,Town,18.0
979,0,Platinum Membership,0,,44254.12,12.0,0,M,City,27.0
891,1,Basic Membership,1,,3929.57,5.0,1,F,Village,38.0
384,0,Premium Membership,0,727.58,56989.08,7.0,1,M,Town,59.0
517,0,Platinum Membership,1,796.24,8879.1,24.0,1,F,City,51.0
309,0,Gold Membership,1,743.13,6656.53,5.0,0,F,,14.0
793,0,Premium Membership,1,761.04,12962.42,26.0,1,F,,62.0
605,0,Premium Membership,1,,5110.81,29.0,1,F,City,47.0
868,0,Gold Membership,1,773.63,15097.46,11.0,0,M,Town,18.0
1094,1,Gold Membership,1,,32437.84,9.0,1,F,Village,64.0
914,0,Premium Membership,1,,2042.49,21.0,1,F,City,56.0
882,0,Silver Membership,0,797.27,60639.1,11.0,1,M,,52.0
179,1,No Membership,1,683.65,28870.14,28.0,1,M,City,49.0
276,1,No Membership,1,608.84,6382.96,24.0,0,M,,15.0
942,0,Platinum Membership,1,786.64,49615.92,24.0,1,F,Town,41.0
741,1,No Membership,1,608.54,28019.96,7.0,0,F,Town,25.0
189,0,Gold Membership,1,1296.6694808427894,38221.0,10.0,1,F,City,36.0
11,1,No Membership,1,989.973193087582,5061.41,10.0,0,F,Village,16.0
379,0,Silver Membership,1,792.09,46895.72,16.0,1,M,Town,30.0
80,1,Gold Membership,1,717.55,48481.64,17.0,0,M,,48.0
168,1,Basic Membership,1,,43598.7,5.0,1,M,Town,29.0
743,1,Gold Membership,1,638.96,22290.86,28.0,1,F,,30.0
347,1,No Membership,1,639.82,17129.53,15.0,1,M,City,49.0
848,0,Gold Membership,1,756.13,26424.38,14.0,0,F,Town,13.0
947,0,Platinum Membership,0,297.4039450203437,14436.07,6.0,1,M,Village,56.0
652,0,Platinum Membership,0,710.92,86842.83,13.0,0,M,Town,36.0
410,0,Premium Membership,1,419.116138250794,33079.95,25.0,0,M,,34.0
1092,1,No Membership,1,206.02762902057088,33862.45,,1,F,City,23.0
628,1,No Membership,1,587.23,25392.94,11.0,0,F,Town,36.0
599,0,Platinum Membership,1,733.6,1816.1,5.0,0,M,City,20.0
895,1,Basic Membership,1,676.89,37451.91,23.0,1,F,City,35.0
165,1,Basic Membership,1,686.86,14431.86,27.0,0,M,City,29.0
204,1,No Membership,1,615.9,20308.23,28.0,1,F,City,38.0
914,0,Gold Membership,1,747.11,15462.29,8.0,1,M,Town,46.0
398,0,Silver Membership,1,750.89,11757.89,6.0,0,F,City,60.0
522,0,Premium Membership,0,292.5686806719382,97688.49,17.0,1,F,City,61.0
690,0,Gold Membership,0,717.96,34687.38,15.0,0,F,Town,56.0
433,1,Basic Membership,1,367.6930211379532,33188.16,27.0,1,M,City,41.0
777,0,Premium Membership,1,788.99,36326.75,,0,M,Town,59.0
250,0,Premium Membership,0,1071.2433224905444,8436.67,6.0,1,F,Town,29.0
438,0,Silver Membership,1,700.81,38427.15,29.0,1,M,City,28.0
862,1,Basic Membership,1,436.08833380250815,43391.4,28.0,1,F,Town,56.0
609,0,Gold Membership,1,701.81,36894.82,18.0,0,F,Town,43.0
226,1,Silver Membership,1,629.83,19368.12,45.31906130431343,1,F,,28.0
588,0,Silver Membership,1,,5497.89,12.0,1,F,,16.0
955,1,No Membership,1,621.96,5132.55,16.0,1,F,Town,60.0
948,1,No Membership,1,631.14,28432.23,29.0,1,F,City,35.0
764,0,Premium Membership,0,846.33,68051.66,,1,M,Village,24.0
713,1,Basic Membership,1,690.32,12144.94,,1,F,,17.0
821,0,Gold Membership,1,777.37,43649.07,11.0,1,M,City,21.0
933,1,Basic Membership,1,,31562.08,7.0,1,F,Town,16.0
